Timestamp,登録するにあたり、以下の内容についてお読みいただき、ご了解いただけたらチェックしてください。ご了承いただけない場合は、そのままこの画面を閉じてください。（画面を閉じた場合、登録情報は反映されません。）,メールアドレス（非公開）,店舗名(正式名称),店舗住所・区名,商店会,店舗住所・区以降,店舗住所・建物名称など,地図上の座標（緯度・経度）,店舗の電話番号,定休日,営業日備考,提供時間等,店舗ウェブサイトURL,店舗SNS,料理のジャンル,対応サービス,サービスの提供条件等,【メニュー１】メニュー名,【メニュー１】税込み価格,【メニュー2】メニュー名,【メニュー2】税込み価格,【メニュー3】メニュー名,【メニュー3】税込み価格,その他のメニュー,お店の紹介,カバー画像URL,通信欄
5/7/2020 12:27:29,当店舗は、管轄の保健所をはじめ、関係機関の許認可を受けており、保健所等から連絡がある場合には、適切に対処いたします。また、横浜市暴力団排除条例第２条に定める暴力団、暴力団員、暴力団員等、暴力団経営支配法人等と関係ないことを誓約いたします。,saisaiyuuki@gmail.com,中国酒菜さいゆうき,青葉区,市が尾＆藤が丘,藤が丘2-5-14,,,0459736688,月曜日,基本的には月曜日ですが不定休の為ホームページなどでご確認してください。,テイクアウト受け付け時間　　ランチ 11:00〜14:00  ディナー17:00〜19:30,https://www.sai-saiyuki.com/free/omochikaeri,@sai_yuu_ki,"アジア・エスニック料理, 中華, 創作料理・多国籍料理",テイクアウト,麻婆豆腐ひとつからテイクアウト出来ます。お気軽にご利用下さい。,ランチセット弁当（スープ、浅漬けザーサイ、メイン、ご飯）6種類あります。,1100,単品料理　『さいゆうきの麻婆豆腐』お子様用に甘口出来ます。,1100,お惣菜　『浅漬けザーサイ』2個買うと3個目プレゼント！極太メンマとの組み合わせ自由です！,480,その他のメニューはホームページからご覧になれます。https://www.sai-saiyuki.com/free/omochikaeri,中華街の老舗『聘珍楼』で修業したシェフ斉田の本格的な逸品料理はあっさりとしていて「油っぽくない」と人気です。気軽でカジュアルに食べられる『さいゆうき中華』は創作料理から本格的な中華料理を紹興酒をはじめ、ワインやオリジナル紹興酒ハイボール、日本酒など、飲んべえシェフがチョイスしたお酒と共に楽しめるお店の空間です。,https://drive.google.com/file/d/1l1e6QEF0pOPs0Oad3kDTBJydRyoaqwEn/view?usp=drivesdk,
5/7/2020 12:29:57,当店舗は、管轄の保健所をはじめ、関係機関の許認可を受けており、保健所等から連絡がある場合には、適切に対処いたします。また、横浜市暴力団排除条例第２条に定める暴力団、暴力団員、暴力団員等、暴力団経営支配法人等と関係ないことを誓約いたします。,toshinobu.ogawa@gmail.com,キールズバーハウス青葉台,青葉区,青葉台,青葉台2－11－28,,,0459857522,定休日無し,,テイクアウトは11時より19時まで（デリバリーはありません）,http://keels-bar-house.com,https://www.instagram.com/keels_bar_house_aobadai/ ,"洋食・西洋料理, フランス料理, 飲料",テイクアウト,ご注文はお電話、又は店頭にて承ります,名物チキンバスケット3ピース,790,パテドカンパーニュ,650,フィッシュ＆チップス３P,1000,トリッパのトマト煮込み（800）; お子様セット（600）；ポテトサラダ（350）；その日のオススメ（500~）；キッシュ（700）,”おうちレストラン”をテーマに、おうちでレストランの味を気軽に楽しめるテイクアウトメニューです。フランス・ニースで修行した女性シェフにつくる身体にやさしいメニューをたくさんご用意しております。ファミリーで、お酒のお供に♪是非どうぞ！,,写真データを後ほどお送り致します。よろしくお願い致します。
5/7/2020 22:18:04,当店舗は、管轄の保健所をはじめ、関係機関の許認可を受けており、保健所等から連絡がある場合には、適切に対処いたします。また、横浜市暴力団排除条例第２条に定める暴力団、暴力団員、暴力団員等、暴力団経営支配法人等と関係ないことを誓約いたします。,yasu-eri-ken-zousan0831@i.softbank.jp,北海道らーめん文太朗,青葉区,たまプラーザ,美しが丘4-19-18,第一井上ドエル101,"35.582226,139.550534",0459021233,月曜日,,テイクアウトのみ11:00~20:00,https://ramen-restaurant-4704.business.site/?utm_source=gmb&utm_medium=referral,https://instagram.com/ramen_buntaro?r=nametag,"中華, ラーメン, 飲料",テイクアウト,,「極み！札幌味噌らーめん」,980,北海道十勝ポーク！「帯広豚丼弁当」,1100,「特製麻婆豆腐丼」,880,"北海道直送「イクラ丼」1500円
　　「ザンギ炒飯弁当」1500円","本場北海道で修行した店主が繰り出す
北海道らーめん！
麺にも拘り北海道は小林製麺の「熟成麺！」
関東では知られていない「帯広豚丼」
北海道直送の「イクラ丼」
まだまだありますが、自分へのご褒美で
北海道へ行った気分を味わうのは如何でしょうか！",,
5/7/2020 22:18:47,当店舗は、管轄の保健所をはじめ、関係機関の許認可を受けており、保健所等から連絡がある場合には、適切に対処いたします。また、横浜市暴力団排除条例第２条に定める暴力団、暴力団員、暴力団員等、暴力団経営支配法人等と関係ないことを誓約いたします。,yasu-eri-ken-zousan0831@i.softbank.jp,北海道らーめん文太朗,青葉区,たまプラーザ,美しが丘4-19-18,第一井上ドエル101,"35.582226,139.550534",0459021233,月曜日,,テイクアウトのみ11:00~20:00,https://ramen-restaurant-4704.business.site/?utm_source=gmb&utm_medium=referral,https://instagram.com/ramen_buntaro?r=nametag,"中華, ラーメン, 飲料",テイクアウト,,「極み！札幌味噌らーめん」,980,北海道十勝ポーク！「帯広豚丼弁当」,1100,「特製麻婆豆腐丼」,880,"北海道直送「イクラ丼」1500円
　　「ザンギ炒飯弁当」1500円","本場北海道で修行した店主が繰り出す
北海道らーめん！
麺にも拘り北海道は小林製麺の「熟成麺！」
関東では知られていない「帯広豚丼」
北海道直送の「イクラ丼」
まだまだありますが、自分へのご褒美で
北海道へ行った気分を味わうのは如何でしょうか！",,
5/8/2020 20:08:51,当店舗は、管轄の保健所をはじめ、関係機関の許認可を受けており、保健所等から連絡がある場合には、適切に対処いたします。また、横浜市暴力団排除条例第２条に定める暴力団、暴力団員、暴力団員等、暴力団経営支配法人等と関係ないことを誓約いたします。,i.nagasawa0136@gmail.com,寺家　ひらさわ,青葉区,奈良＆鴨志田,寺家町602,,,0454824923,月曜日,火曜日　臨時休業,テイクアウトのみ　14:00LO 16:00close,,,和食・日本料理,テイクアウト,,厚木豚治部煮重,1000,緑風弁当,1800,春薫る詰め合わせ　2〜3人前　,3000,その他ご予算に応じてお作りいたします。,,,
5/10/2020 19:11:33,当店舗は、管轄の保健所をはじめ、関係機関の許認可を受けており、保健所等から連絡がある場合には、適切に対処いたします。また、横浜市暴力団排除条例第２条に定める暴力団、暴力団員、暴力団員等、暴力団経営支配法人等と関係ないことを誓約いたします。,info@quatre-f.com,キャトルフイユ,青葉区,市が尾＆藤が丘,藤が丘2-3-3,第2飯田ビル2階,35度32分36.22秒 139度31分33.31秒,0459715716,火曜日,,11:30から19:00,http://www.quatre-f.com,Facebook. Instagram  Twitter ,フランス料理,テイクアウト,Takeout only,贅沢な前菜3種盛り合わせ　ラタトゥイユも添えて　2、３人,3456,骨付き仔羊ロースの香草パン粉ロースト　2本付け　ローズマリーポテトソテー添え,3240,地鶏モモ肉のコンフィ　2枚　ローズマリーポテトソテー添え,2160,"シュリンプとほぐしクラブのカレーと15穀米ライス　サラダセット　　1296円

黒豚バラ肉にの赤ワインラグーと15穀米ライス　サラダセット　　　1296円

香ばしくローストしたフランス産鴨胸肉と
野菜のフリット🥦　自家製プチブールパン2個付き　　　2592円

仔牛のテリーヌ　1枚　　　518円

帆立貝と小海老のブイヤベース　トラディショナル　クルトン付き　　　1728円","ワインと南仏料理
リーズナブルで気軽にご利用できます。",https://rimage.gnst.jp/rest/img/gm1k2ekt0000/s_0033.png?t=1407758867&g=328,通信はquatre-f@kind.ocn.ne.jp
,,info@2bananeira.com,2bananeira. ドイスバナネイラ,青葉区,,柿の木台3-20,,,0454827871,日曜日,木曜ランチのみ,11時〜22時（木曜ランチのみ）,http://www.2bananeira.com,,"スイーツ, 創作料理・多国籍料理, パン・サンドイッチ","テイクアウト,デリバリー",,植物性100%のお弁当！,,,,,,,,,
,,raumenshinka@gmail.com,らうめん纏,青葉区,,藤が丘2-5-17,藤が丘ショッピングセンター内,"35.54363,139.5272605",0455323349,月曜日（月曜日が祝日の場合火曜日）,,火〜日11:30〜15:00/18:00〜25:00（日は17:00〜22:00）,https://tabelog.com/kanagawa/A1401/A140202/14033578/,,和食,テイクアウト,,チャーシュー丼セット,,チャーマヨ丼セット,,チャーねぎ丼セット,,,,,
,,rainbowandco.0924@gmail.com ,Billys cafe&dine,青葉区,,藤が丘1-28-43 2階,,"35.5449506,139.5284014",0455309430,不定休,,18:00〜24:00（テイクアウト）,https://gf39200.gorp.jp/ ,,"洋食・西洋料理, 肉料理",テイクアウト,,自家製唐揚げ,390,スペアリブ,390,人気のハンバーガー,890,,,,
,,,グリル  チンチン,青葉区,,市ヶ尾町1157-1 ,市が尾アネックスショッピングビル2F,"35.5523488,139.5414709",0454825699,月曜日   祝日の場合は火曜,,ランチ12-14時    ディナー17-23時,https://twitter.com/GRILL_cincin,,"洋食・西洋料理, 肉料理",テイクアウト,,限定日替り弁当,,,,,,,,,
